,Data
313,"Bresnan to Watson, FOUR runs another boundary! The runs are flowing, Bresnan gives him some more width now and Watson cuts this one away fine, well behind point, easy runs"
314,"Bresnan to Watson, 2 runs strays on to the pads this time and Watson flicks it away towards deep square leg, there is a man back there so this one doesn't add to his boundary tally"
315,"Bresnan to Watson, no run better line and length, Watson defends to off"
316,"Bresnan to Watson, no run Watson gets back to defends this straight one"
317,"Anderson to Rogers, 2 runs swings in towards the pads and Rogers just clips it along the ground out towards deep square"
318,"Anderson to Rogers, no run defended back to Anderson"
319,"Anderson to Rogers, no run better line outside off and it's defended to cover"
320,"Anderson to Rogers, no run bangs in the bouncer from around the wicket, Rogers ducks under it with a distinct lack of concern"
321,"Anderson to Rogers, no run defended away to the leg side"
322,"Anderson to Rogers, no run solid in defence again"
323,"Swann to Watson, no run turning in from outside off, Watson defends"
324,"Swann to Watson, 1 run shorter from Swann, Watson tucks it away behind square leg"
325,"Swann to Rogers, no run drifting in from around the wicket, Rogers defends"
326,"Swann to Rogers, 2 runs wristy from Rogers now as Swann drops short and angles it in to off stump, it's flicked away through midwicket"
327,"Swann to Rogers, 2 runs more flight this time and it's fuller, Rogers drives square through point. He's not finding the boundary like Watson but he's looking solid"
328,"Swann to Rogers, no run slow stuff from Swann and Rogers defends"
329,"Bresnan to Watson, no run angled in towards off, he's looking for the lbw in this over, but Watson defends"
330,"Bresnan to Watson, no run swinging in this time and Watson leaves it alone"
331,"Bresnan to Watson, no run shoulders arms again"
332,"Bresnan to Watson, OUT Bresnan strikes! He has Watson lbw in the last over before lunch! Great ball, angled in and Watson moved across with the front pad and missed the ball, he's rapped right in front and Dharmasena gives it lbw. Watson chats for a while with Rogers and eventually makes the decision to review it. It's a poor decision because that was plumb. That's not how to use the review system"
333,"Bresnan to Khawaja, no run good length, pushed across and defended on the front foot outside off"
334,"Bresnan to Khawaja, 2 runs drops short, at the body, Khawaja nudges it away through square leg and they get back for a couple"
335,"Swann to Rogers, no run tapped into the off side and this very nearly results in Rogers running himself out, as Khawaja sends him back! He had to do a U-turn in the middle of the pitch as the throw came in - a direct hit would have done for him"
336,"Swann to Rogers, no run tossed up and this rags hard past the outside edge as Rogers plays from the crease"
337,"Swann to Rogers, no run tossed up and defended"
338,"Swann to Rogers, no run more spin as Rogers leans out, covers the line and drives to backward point"
339,"Swann to Rogers, no run full and flighted, straightening a touch outside off as Rogers leaves"
340,"Swann to Rogers, no run goes back to a wide delivery and pokes it square on the off side"
341,"Bresnan to Khawaja, 3 runs not much footwork and Khawaja fences away from his body, a thick edge flies low through the gully region, Cook gives chase and prevents four"
342,"Bresnan to Rogers, no run length ball, around off stump, steered toward point"
343,"Bresnan to Rogers, no run straighter, worked off the pads towards midwicket, no run"
344,"Bresnan to Rogers, 3 runs on the pads, touch fuller this time and Rogers neatly picks him off between midwicket and mid-on"
345,"Bresnan to Khawaja, no run slightly back of a length, in the corridor, Khawaja drops back and shoulders arms"
346,"Bresnan to Khawaja, no run good, probing line, on a length and drawing Khawaja forwards, he opens the face and steers to point"
347,"Swann to Rogers, no run tossed up and defended into the off side"
348,"Swann to Rogers, OUT what on earth has happened here? He's missed a full toss and been hit in front ... Erasmus raises a finger and England have another, though both batsman and bowler are shaking their heads! This is like the tactic of bowling a slow full toss on Brian Lara Cricket, though there was no intent on Swann's part. The ball slipped out of the hand and Rogers was slow to sight it, missed swinging across the line and got hi"
349,"Swann to Hughes, 1 run tossed up outside off and pushed into a gap in the covers first ball"
350,"Swann to Khawaja, no run angled in with the arm and blocked"
351,"Swann to Khawaja, no run gets forward to defend in front of off"
352,"Swann to Khawaja, 1 run hops back and prods at a length ball straightening outside off, skids away off the outside edge"
353,"Bresnan to Khawaja, no run gets forward to a length ball in the channel"
354,"Bresnan to Khawaja, no run good length, Khawaja gets a stride in and blocks into the off side"
355,"Bresnan to Khawaja, no run length and in the channel outside off, steady line from Bresnan, this time Khawaja leaves"
356,"Bresnan to Khawaja, no run stays in the crease, pushes away from the body but keeps it down towards point"
357,"Bresnan to Khawaja, 1 run gets forward and pushes one into a gap in the covers"
358,"Bresnan to Hughes, no run pitched up a little fuller, Hughes stays in the crease and punches to mid-off"
359,"Swann to Khawaja, no run dances forward and manages to jam his gloves down on to at as the ball threatens to spins past him"
360,"Swann to Khawaja, no run angled in and defended"
361,"Swann to Khawaja, no run dropped, a dolly for Trott at first slip! Khawaja pushes at a regulation offbreak and guided it into the fielder's hands but it popped straight out of the confectionery stand and to the turf"
362,"Swann to Khawaja, no run tossed up and blocked pressing forwards"
363,"Swann to Khawaja, no run a big lbw appeal this time, bat thrust forward next to pad, hard to tell which took the impact first and might have been outside the line of off, Erasmus shakes his head"
364,"Swann to Khawaja, no run floated up and defended coming forwards"
365,"Bresnan to Hughes, no run squares him up and beats the outside edge, Hughes jumping around like a cat in his crease"
366,"Bresnan to Hughes, no run angled across and this time Hughes gets in line to defend"
367,"Bresnan to Hughes, no run pushed across the bows on a good length and left alone"
368,"Bresnan to Hughes, no run length delivery, defended around the line of off"
369,"Bresnan to Hughes, no run gets forward to defend a length ball into the covers"
370,"Bresnan to Hughes, OUT Hughes throws his hands at a wide one, very loose shot from a new batsman, there's a limp sort of appeal, particularly from Bresnan but it's immediately upheld by Dharmasena! Hughes reviews without hesitation, so he must be pretty confident he didn't hit it... So, let's see if there's evidence to overturn the decision. Hot Spot is pretty inconclusive, maybe a faint mark, there was a sound on the audio and Tony"
371,"Swann to Khawaja, no run tossed up, defended back down the track"
372,"Swann to Khawaja, no run very full, gets across to defend"
373,"Swann to Khawaja, no run bit of spin for Swann again, Khawaja pushing at it with hard hands"
374,"Swann to Khawaja, no run tossed up and defended coming forwards"
375,"Swann to Khawaja, 1 run floated up on the stumps, worked through the leg side for a single"
376,"Swann to Clarke, no run angled in with the arm, minimal turn and Clarke defends in front of off"
377,"Bresnan to Khawaja, 1 run stays back and drops into the off side, they scamper one but Bairstow swoops on it and hits one stumps from square! They go upstairs to the third umpire again, but Clarke is quick across the ground and was just in"
378,"Bresnan to Clarke, no run back of a length in the channel outside off, doesn't do much off the pitch and Clarke lets it through"
379,"Bresnan to Clarke, FOUR runs touch too full, wide of the stumps and Clarke rattles his hands through a square drive, races away for his first runs"
380,"Bresnan to Clarke, no run pitched up, homing in around off stump, blocked to leg"
381,"Bresnan to Clarke, no run length ball, goes across and jabs defensively into the off side"
382,"Bresnan to Clarke, 2 runs straight line, flicked off a length through square leg and they hurry back for a second"
383,"Swann to Khawaja, no run very full, Khawaja plays around his front pad and defends into the off side"
384,"Swann to Khawaja, 1 run drifts to leg, closes the face and clips one past the attendant close fielder"
385,"Swann to Clarke, 1 run tossed up around the line of off, punched into the off side, to the left of mid-off and they steal one"
386,"Swann to Khawaja, FOUR runs back round the wicket, arm ball drifting on to the pads and Khawaja plays it well, from deep in the crease and glancing it fine for a boundary"
387,"Swann to Khawaja, no run full and flighted outside the line of off, defended"
388,"Broad to Clarke, no run gets forward to defend the ball into the off side"
389,"Broad to Clarke, no run pitched up a little in the corridor, blocked towards mid-off coming forwards"
390,"Broad to Clarke, no run good length, on off stump, gets across and shows it the maker's name"
391,"Broad to Clarke, 1 run drops short, over the top of the stumps, clipped through square for a single"
392,"Broad to Khawaja, no run slightly back of a length, pushed across the left-hander from over the wicket, left alone"
393,"Broad to Khawaja, no run continues to fire it down the corridor, goodish length and Khawaja again watches it through"
394,"Swann to Clarke, no run tossed up, knocked back down the track"
395,"Swann to Clarke, 1 run skips forward to get to the pitch and fiddle a single through the leg side"
396,"Swann to Khawaja, no run leans out to defend and edged again, this time low into the ground towards slip, where Trott is on his knees to stop it"
397,"Swann to Khawaja, no run full, flighted, defended in front of off"
398,"Swann to Khawaja, OUT Khawaja on the charge, he's hit this over the top... except it doesn't go over, it merely loops high off the toe and into the hands of KP at mid-off! He hasn't looked comfortable against Swann, surviving a drop at slip and defending somewhat anxiously in front of his pad, obviously decided he didn't want to die in a hole - so he perished in no-man's land instead"
399,"Swann to Clarke, no run tossed up and turning in from outside off, defended coming forward"
400,"Broad to Smith, no run slightly back of a length and defended into the leg side as Smith walks across his wicket"
401,"Broad to Smith, no run pitched up, around off, blocks coming forward"
402,"Broad to Smith, no run tight line on off, Smith again shows an immaculate defence to a fullish ball"
403,"Broad to Smith, no run very full and wide of the stumps, Smith watches it through"
404,"Broad to Smith, no run angled in towards off stump, another solid defensive shot"
405,"Broad to Smith, no run good length, the bat comes down at a slight angle to block towards mid-off"
406,"Swann to Clarke, no run drifts this one past the outside edge of Clarke, to the general excitement of the England fielders"
407,"Swann to Clarke, no run floated up outside off, Clarke gets forward and covers the line"
408,"Swann to Clarke, no run full and straight, chipped back towards mid-on"
409,"Swann to Clarke, no run tossed up outside off, Clarke advances and drives back to the bowler"
410,"Swann to Clarke, FOUR runs drops slightly short, room for Clarke to free the arms and crack a cut shot in front of point, that came off the bat like a bullet"
411,"Swann to Clarke, 1 run floated up on the leg stump, gets forward and flicks round the corner for one mpre"
412,"Broad to Clarke, no run good length, around the line of off, defended"
413,"Broad to Clarke, no run turned into the leg side"
414,"Broad to Clarke, no run pitched up and Clarke advances with menacing intent, smacks the cover off a drive but straight into the stumps at the other end"
415,"Broad to Clarke, FOUR runs very full and in the slot, Clarke drives again, gets a good chunk of the ball and it beats Bresnan's dive moving to his left at mid-off, four more"
416,"Broad to Clarke, no run bumper, outside off, Clarke eschews the shot on this occasion"
417,"Broad to Clarke, 1 run short of a length, goes across and works the ball to deep backward square"
418,"Swann to Clarke, 1 run squeezed off the inside edge just past short leg"
419,"Swann to Smith, no run Smith leans forward to defend"
420,"Swann to Smith, no run again Smith defends a quicker ball outside off"
421,"Swann to Smith, 1 run flattish again and turning in to off, Smith works it through square leg"
422,"Swann to Clarke, no run good use of the feet from Clarke, he advances and then defends"
423,"Swann to Clarke, no run watchfully defended again"
424,"Broad to Smith, 1 run swinging in on to the pads and it's clipped through square leg"
425,"Broad to Clarke, no run a bit shorter of a length now and Clarke defends with a straight bat"
426,"Broad to Clarke, no run bouncer this time, Clarke thinks about hooking but ducks under it"
427,"Broad to Clarke, 3 runs nicely played by Clarke, it was short of a length and he drives off the back foot between cover and mid-off, it looks like running away for a boundary but Bresnan does well to reel that in"
428,"Broad to Smith, no run bouncer again, and Smith ducks it"
429,"Broad to Smith, no run again Broad bangs it in short, again Smith ducks it comfortably"
430,"Swann to Clarke, no run quickish from Swann, a touch of turn, and Clarke defends"
431,"Swann to Clarke, no run same again from Swann, same again from Clarke"
432,"Swann to Clarke, 1 run good use of the feet as Clarke advances to Swann and works it off his pads through midwicket along the ground, just a gentle push"
433,"Swann to Smith, no run Smith uses his feet too - he's the best player of spin besides Clarke around the Australian group at the moment - and clips it to midwicket"
434,"Swann to Haddin, no run on the back foot, Haddin nudges it down into the ground to Bell"
435,"Broad to Clarke, no run Clarke flashes at this outside off! Didn't move the feet at all, and that has beaten the outside edge. You have to wonder if Clarke has decided he's going to go after the bowlers"
436,"Broad to Clarke, FOUR runs that, however, is a much better stroke. A bit shorter from Broad and Clarke whips this pull dismissively through midwicket, fine timing and placement"
437,"Broad to Clarke, no run swinging in a touch now and Clarke defends"
438,"Broad to Clarke, no run fullish length and Clarke drives to mid-off"
439,"Broad to Clarke, no run banged in short of a length and Clarke nudges it to point"
440,"Broad to Clarke, 1 wide bouncer, but it's too high to worry Clarke. It has worried umpire Dharmasena, though. He calls it wide."
441,"Swann to Haddin, no run turns in towards the stumps and Haddin defends"
442,"Swann to Haddin, no run defensive again from Haddin"
443,"Swann to Haddin, no run some turn for Swann, and Haddin defends"
444,"Swann to Haddin, 1 run a touch too straight now, allows Haddin to push through midwicket and add to the score"
445,"Swann to Agar, no run defended comfortably outside off"
446,"Swann to Agar, 1 leg bye drifting towards leg stump and there's not really a shout for lbw, Agar picks up a leg bye"
447,"Broad to Agar, no run pushed away towards the off side"
448,"Broad to Agar, no run wafty from Agar outside off, he's tried to dab it through point but can't make contact"
449,"Broad to Agar, no run angled across Agar, who defends"
450,"Broad to Agar, no run Agar goes for the pull off a shortish ball, but mistimes it straight down into the ground"
451,"Broad to Agar, no run probing just outside off and Agar defends"
452,"Broad to Agar, no run and again Agar defends to the off side"
453,"Swann to Haddin, no run turns in towards off and Haddin defends with a straight bat"
454,"Swann to Haddin, no run solidly defended again by Haddin, who has a lot riding on his shoulders now"
455,"Swann to Haddin, no run Swann not flighting it much to Haddin, he's going flatter, and Haddin defends"
456,"Swann to Haddin, no run just a fraction more flight now and it's driven back to the bowler"
457,"Swann to Haddin, no run again Haddin leans forward to defend outside off"
458,"Swann to Haddin, no run Haddin off the back foot punches to mid-off"
459,"Anderson to Agar, no run pushed away to the off side"
460,"Anderson to Agar, no run some width now and Agar cuts it to point"
461,"Anderson to Agar, no run solidly defended from on the pads"
462,"Anderson to Agar, no run awkwardly defended this time, Agar looks a bit hampered by this sore hip that he has. He's certainly missing a bit of the joie de vivre he displayed at Trent Bridge"
463,"Anderson to Agar, no run pushed away towards point"
464,"Anderson to Agar, no run angled across Agar again, and he defends"
465,"Swann to Haddin, no run turning in to Haddin, who punches off the back foot towards cover, can't find the gap"
466,"Swann to Haddin, no run kicked away by Haddin, who just thrusts the pad outside off to a ball that wasn't turning much"
467,"Swann to Haddin, no run defensive again - the runs have dried up here"
468,"Swann to Haddin, no run straighter line from Swann, Haddin tries to flick it through leg but again, no gap to be found"
469,"Swann to Haddin, 1 run this time they do find a run as Haddin just pushes it through cover"
470,"Swann to Agar, no run solid in defence from Agar"
471,"Anderson to Haddin, no run fullish and on line, Haddin drives towards mid-on"
472,"Anderson to Haddin, no run a big lbw appeal from Anderson now, he's keen but the umpire is not, and nor is Matt Prior. What a system England have in place! That was comfortably sailing down leg and too high to boot"
473,"Anderson to Haddin, no run solidly defended by Haddin, no swing for Anderson"
474,"Anderson to Haddin, no run probing around off stump and Haddin defends"
475,"Anderson to Haddin, no run worked away to the off side but he can't beat point"
476,"Anderson to Haddin, no run straight-bat defence again from Haddin"
477,"Swann to Agar, no run Agar defends on off stump, no turn from Swann"
478,"Swann to Agar, 2 runs Agar gets off the mark at last, from his 17th delivery, with a cut behind point off a shortish ball"
479,"Swann to Agar, no run sharp turn out of the footmarks - it has spun all the way to first slip! Agar wasn't interested in trying to hit that"
480,"Swann to Agar, no run faster ball, Agar defends"
481,"Swann to Agar, no run Agar leans forward out of his crease to defend"
482,"Swann to Agar, no run fullish ball and Agar digs it out, drives to mid-off"
483,"Anderson to Haddin, no run Anderson continues to probe on off, Haddin continues to defend with a straight bat"
484,"Anderson to Haddin, no run defends away to the off side"
485,"Anderson to Haddin, no run short of a length, Haddin works it to leg"
486,"Anderson to Haddin, no run punched off the back foot to point"
487,"Anderson to Haddin, no run Haddin looks to have timed this straight drive well, but Anderson gets a hand to it and the deflection is collected by mid-off - no run again"
488,"Anderson to Haddin, OUT oh dear! Agar has been run out! What a terrible mix-up! At first glance it appears Haddin has let his partner down here. It was shortish on the hips and lobbed up, perhaps off the body, behind square leg. Prior ran around to collect and Agar was running through for a single. It was Agar's call as it was behind the batsman, but Haddin didn't respond. He barely even left his crease. Agar made it three quarters o"
489,"Swann to Siddle, no run Siddle leans forward to defend"
490,"Swann to Siddle, no run no real turn for Swann, Siddle defends"
491,"Swann to Siddle, no run Siddle uses his feet nicely, and then defends"
492,"Swann to Siddle, no run quicker from Swann, trying to squeeze through Siddle's defence - unsuccessfully"
493,"Swann to Siddle, no run Siddle defends once more"
494,"Swann to Siddle, no run and another maiden is registered as Siddle - yep - defends"
495,"Anderson to Haddin, no run solidly defended by Haddin"
496,"Anderson to Haddin, no run defended once more by Haddin"
497,"Anderson to Haddin, no run angling in towards the pads of Haddin, who clips it to leg"
498,"Anderson to Haddin, no run defended again by Haddin"
499,"Anderson to Haddin, no run solidly defended once more, Anderson continues to probe on line but without any swing"
500,"Anderson to Haddin, no run straight-bat defence from Haddin"
501,"Swann to Siddle, no run over the wicket, tossed up on off stump and defended pressing forwards"
502,"Swann to Siddle, no run pushed through, slightly flatter, bit of bounce and blocked"
503,"Swann to Siddle, no run Siddle gets down to sweep, taking it from outside off into the ground, can't get it past short leg"
504,"Swann to Siddle, no run floated up and pushed back down the track"
505,"Swann to Siddle, no run angled in on the stumps, gets forward and taps into the leg side"
506,"Swann to Siddle, 1 run full and drifting in around off, Siddle opts to sweep again and gets one out to deep backward square"
507,"Anderson to Siddle, no run slightly back of a length, around off stump, gets across and covers the line"
508,"Anderson to Siddle, no run dug in again, Siddle does well to ride the bounce and keep it down"
509,"Anderson to Siddle, no run goes back and across and defends again"
510,"Anderson to Siddle, no run length ball in the channel, left alone by the batsman"
511,"Anderson to Siddle, no run full and angled in on the pads before straightening as Siddle tries to turn to leg, gets a leading edge square on the off side"
512,"Anderson to Siddle, no run good length and homing in on off, Siddle shows it the face in defence"
513,"Swann to Haddin, 1 run spinning in off a length from outside off, waits on it and tucks one into the leg side"
514,"Swann to Siddle, no run on the stumps, turned to midwicket"
515,"Swann to Siddle, 1 run full and wide of the stumps, Siddle sweeps competently through backward square for another single"
516,"Swann to Haddin, no run gets forward and dabs defensively to leg"
517,"Swann to Haddin, no run full and flighted outside the line of off, defended with a straight bat"
518,"Anderson to Siddle, no run short and wide and steered with a horizontal blade out towards point"
519,"Anderson to Siddle, no run pitched up on the stumps, blocked back on the on side"
520,"Anderson to Siddle, 1 wide hammers this into the deck, very short and it loops up well over the head of the batsman"
521,"Anderson to Siddle, no run goes across his stumps and prods a fullish ball towards mid-on"
522,"Anderson to Pattinson, no run beaten outside off, a teaser to begin with that pitched on middle and seams away as the batsman prodded at it"
523,"Anderson to Pattinson, no run pitched up and Pattinson gets behind this to defend square"
524,"Swann to Haddin, no run flat trajectory, worked off the pads to leg"
525,"Swann to Haddin, no run full and blocked on the front foot"
526,"Swann to Haddin, no run stands up and defends into the pitch around off"
527,"Swann to Harris, 2 runs length ball, sits up outside off and neatly punched through the covers for a couple"
528,"Swann to Harris, 2 runs drops slightly short and Harris stays back, dabs another brace through point"
529,"Anderson to Pattinson, no run good length in the channel and Pattinson gets forward to defend"
530,"Anderson to Pattinson, no run edged but this scoots low towards third slip, who dives to make the stop. The ball was pushed across Pattinson and clipped the outside edge as the bat scissored down"
531,"Anderson to Pattinson, no run good length and seaming across the left-hander, who leaves"
532,"Anderson to Pattinson, no run short and at the man, Patto ducks underneath"
533,"Anderson to Pattinson, 3 runs another low edge screws away wide of third slip, Pattinson did well to keep it down and Jonny Bairstow does even better to keep them to three with a dive to the rope, almost swimming across the turf to fingertip it back in"
534,"Anderson to Harris, 1 run a big inducker from Anderson, full and homing on middle and leg, Harris plays around the front pad and picks up one through square"
535,"Swann to Harris, no run pushed through on the stumps, blocked into the off side"
536,"Swann to Harris, 1 run tossed up and Harris has a hack, the ball flying past short midwicket and on the bounce towards a half-back long-on"
537,"Swann to Pattinson, no run goes round the wicket, tossed up and blocked back down the track"
538,"Swann to Pattinson, no run slightly shorter, this bounces up at Pattinson, who dead-bats it from the crease"
539,"Swann to Pattinson, no run full and straightening, squeezed away square"
540,"Swann to Pattinson, no run floated up wide of the stumps, the batsman gets forward and dabs into the covers"
541,"Anderson to Harris, no run pitched up on the stumps, worked to leg and midwicket collects"
542,"Anderson to Harris, no run stays in the crease and blocks a shorter-length ball into the covers"
543,"Anderson to Harris, no run good length, in the channel outside off, Harris watches it by"
544,"Anderson to Harris, no run goes for the bumper, again the ball doesn't get up that high but Harris crams his big frame into a tight little ball underneath it"
545,"Anderson to Harris, no run good length, on the stumps, blocked to leg"
546,"Anderson to Harris, no run full and veering down the leg side, nearly knocks Harris off his feet, Dharmasena shakes his head. England decide that DRS has been good to them, and duly review ... only for Hawk-Eye to prove what the naked eye could see. In fact, the ball pitched outside leg, never mind the impact. Tsk"
547,"Swann to Pattinson, 1 run squeezes a single out square on the off side"
548,"Swann to Harris, no run full and on the stumps, blocked back and Swann collects in front of mid-on"
549,"Swann to Harris, no run flighted, straight line, played back to the bowler"
550,"Swann to Harris, no run very full, bit of air and drifting towards leg stump, turned to leg"
551,"Swann to Harris, FOUR runs drops short outside off and Harris totters back to middle a cut shot through point - here begineth the marathon last-wicket defiance, then"
552,"Swann to Harris, no run good length, doesn't really turn much, Harris gets in line behind his bat and blocks"
553,"Broad to Pattinson, 2 runs stands tall and steers a back-of-a-length ball through backward point with an open face, Bairstow hares after it, though fails to gather at the first attempt"
554,"Broad to Pattinson, no run good length, pushed across from over the wicket, stoutly defended into the covers"
555,"Broad to Pattinson, no run digs this one in short and Patto flinches under it"
556,"Broad to Pattinson, no run line-and-length in the channel, tries to get Pattinson feeling for it and feel he does, the ball darting past the outside edge"
557,"Broad to Pattinson, no run good length again, slightly tighter to off stump, gets the bat behind it this time"
558,"Broad to Pattinson, no run goes fuller, slightly wide of the stumps, pushed into the covers"
559,"Swann to Harris, no run goes round the wicket, pushed across and defended coming forwards outside off"
560,"Swann to Harris, 4 byes full and pitching outside leg stump and this has absolutely ripped past Prior as Harris shouldered arms, the ball racing to long leg for byes"
561,"Swann to Harris, no run chipped back and dropped, bursts through both hands as Swann reached to his left - second drop off Swann but he'll have to fume at himself this time"
562,"Swann to Harris, no run props forward with bat next to pad and defends"
563,"Swann to Harris, no run on the stumps, drifting across, pushed back on the front foot"
564,"Swann to Harris, no run stays back and tapped square on the off side"
565,"Broad to Pattinson, no run goes round the wicket to the left-hander, digs in it short and Patto taps to point"
566,"Broad to Pattinson, no run slightly short of a length and defended to mid-off"
567,"Broad to Pattinson, no run good pace and bounce off a length in the corridor outside off, Pattinson shoulders arms"
568,"Broad to Pattinson, no run stays back to a shortish ball outside off and dabs into the covers"
569,"Broad to Pattinson, no run drops short, another nonchalant duck underneath"
570,"Broad to Pattinson, FOUR runs overpitched and driven sweetly back down the ground, gets the weight going forward and scalps four with a classical drive through mid-off"
571,"Swann to Harris, no run full and on leg stump, pushed back down the track"
572,"Swann to Harris, no run pushed through a bit quicker and flatter and defended"
573,Innings Start
574,Where's short leg?
